VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Echidna nocturna,English,Freckled moray,Palenose moray,Moray
Echidna peli,English,Pebbletooth moray,,
Echidna polyzona,English,Banded moray,Barred moray,Dark-banded eel
Echidna rhodochilus,English,Pink-lipped moray eel,,
Echidna unicolor,English,Pale moray,Unicolor moray,
Echidna xanthospilos,English,Yellow-spotted moray,,
Echiichthys vipera,English,Lesser weever,Lesser weever fish,Sting-fish
Echinogobius hayashii,English,Cheek-streaked goby,,
Echinophryne crassispina,English,Prickly anglerfish,Prickly frogfish,Thick-spined anglerfish
Echinophryne mitchellii,English,Bristly frogfish,Long-spined anglerfish,Mitchell's anglerfish
Echinophryne reynoldsi,English,Reynold's anglerfish,Reynold's frogfish,Sponge anglerfish
Echiodon anchipterus,English,Closefin pearlfish,,
Echiodon cryomargarites,English,Messmate,,
Echiodon dawsoni,English,Chain pearlfish,,
Echiodon exsilium,English,Nocturnal pearlfish,,
Echiodon rendahli,English,Messmate fish,Rendahl's messmatefish,Pearlfish
Echiophis brunneus,English,Fangjaw eel,Pacific spoon-nose eel,
Echiophis intertinctus,English,Spotted spoon-nose eel,,
Echiophis punctifer,English,Snapper eel,Spoon-nose eel,Stippled spoon-nose eel
Echiostoma barbatum,English,Threadfin dragonfish,,
Eckloniaichthys scylliorhiniceps,English,Weedsucker,,
Ecsenius aequalis,English,Fourline blenny,Fourline combtooth blenny,Fourline coralblenny
Ecsenius alleni,English,Allen's blenny,Allen's combtooth blenny,
Ecsenius aroni,English,Aron's blenny,,
Ecsenius australianus,English,Australian blenny,Australian combtooth blenny,Pale-spotted coral blenny
Ecsenius axelrodi,English,Axelrod's clown blenny,Axelrod's combtooth-blenny,Axelrod's coralblenny
Ecsenius bandanus,English,Banda clown blenny,Banda comb-tooth,Banda combtooth-blenny
Ecsenius bathi,English,Bath's comb-tooth,Bath's combtooth-blenny,Bath's coralblenny
Ecsenius bicolor,English,Bicolor blenny,Bicolor combtooth blenny,Bicolor coralblenny
Ecsenius bimaculatus,English,Twin-spot combtooth-blenny,Twinspot coralblenny,Blenny
Ecsenius caeruliventris,English,Bluebelly blenny,Bluebelly coralblenny,
Ecsenius collettei,English,Collete's blenny,Collette's coralblenny,
Ecsenius dentex,English,Dentex blenny,,
Ecsenius dilemma,English,Twocoat coralblenny,,
Ecsenius fourmanoiri,English,Blackstriped combtooth blenny,,
Ecsenius frontalis,English,Smooth-fin blenny,,
Ecsenius gravieri,English,Red Sea mimic blenny,,
Ecsenius kurti,English,Kurt's coralblenny,,
Ecsenius lineatus,English,Linear blenny,Lined blenny,Lined comb-tooth
Ecsenius lividanalis,English,Blackass blenny,Blackass combtooth blenny,Blackspot coralblenny
Ecsenius lubbocki,English,Lubbock's combtooth-blenny,Lubbock's coralblenny,
Ecsenius mandibularis,English,Many-toothed blenny,Queensland blenny,Queensland combtooth blenny
Ecsenius melarchus,English,Eye-lined coralblenny,Java combtooth-blenny,Yellow-eyed comb-tooth
Ecsenius midas,English,Golden blenny,Lyre-tail comb-tooth,Lyre-tail combtooth-blenny
Ecsenius monoculus,English,Monocle coralblenny,,
Ecsenius nalolo,English,Nalolo blenny,Nalolo,
Ecsenius namiyei,English,Black comb-tooth,Black combtooth-blenny,Namiye's blenny
Ecsenius oculatus,English,Coral blenny,Ocular blenny,Ocular combtooth blenny
Ecsenius oculus,English,Coral blenny,Ocular blenny,Spectacled coralblenny
Ecsenius ops,English,Eye-spot blenny,Yellow-eye combtooth-blenny,
Ecsenius opsifrontalis,English,Comical blenny,,
Ecsenius paroculus,English,Spottedback coralblenny,,
Ecsenius pictus,English,Pictus blenny,Pictus coralblenny,White-lined comb-tooth
Ecsenius polystictus,English,Andaman combtooth-blenny,Dotted coralblenny,
Ecsenius prooculis,English,Striped coralblenny,,
Ecsenius pulcher,English,Gulf blenny,,
Ecsenius schroederi,English,Schroeder's combtooth blenny,Schroeder's combtooth-blenny,Schroeder's coralblenny
Ecsenius sellifer,English,Saddle blenny,Saddle clown blenny,Saddle coralblenny
Ecsenius shirleyae,English,Shirley's coralblenny,,
Ecsenius springeri,English,Springer's coral blenny,,
Ecsenius stictus,English,Great Barrier Reef blenny,Japanese coral blenny,Small-spotted comb-tooth
Ecsenius stigmatura,English,Tail-spot combtooth-blenny,Tailspot coralblenny,
Ecsenius taeniatus,English,White-lined coralblenny,,
Ecsenius tigris,English,Tiger blenny,Tiger combtooth blenny,
Ecsenius tricolor,English,Derawan combtooth-blenny,Tricolor coralblenny,
Ecsenius trilineatus,English,Three-lined blenny,White-spotted comb-tooth,White-spotted combtooth-blenny
Ecsenius yaeyamaensis,English,Coral blenny,Pale-spotted comb-tooth,Pale-spotted combtooth-blenny
Ectreposebastes imus,English,Midwater scorpionfish,,
Ectreposebastes niger,English,Black scorpionfish,Pelagic scorpionfish,
Eeyorius hutchinsi,English,Finetooth beardie,Tasmanian codling,Beardie
Egglestonichthys bombylios,English,Egglestone's bumblebee goby,,
Egglestonichthys fulmen,English,Eggleston's lightning goby,,
Egglestonichthys ulbubunitj,English,Threadfin goby,,
Ehirava fluviatilis,English,Malabar sprat,,
Einara edentula,English,Toothless smooth-head,,
Einara macrolepis,English,Loosescale slickhead,Loosescale smooth-head,
Ekemblemaria myersi,English,Reef-sand blenny,Reefsand blenny,
Ekemblemaria nigra,English,Moth blenny,,
Elacatinus atronasus,English,Exuma goby,,
Elacatinus cayman,English,Cayman cleaner goby,,
Elacatinus centralis,English,Cayman sponge goby,,
Elacatinus chancei,English,Shortstripe goby,,
Elacatinus colini,English,Belize sponge goby,,
Elacatinus evelynae,English,Shark nose goby,Sharknose goby,Sharpnose Goby
Elacatinus figaro,English,Barber goby,Neon goby,
Elacatinus genie,English,Cleaner goby,Cleaning goby,Genie's cleaning goby
Elacatinus horsti,English,Yellowline goby,,
Elacatinus illecebrosus,English,Barsnout goby,,
Elacatinus jarocho,English,Jarocho goby,,
Elacatinus lobeli,English,Caribbean neon goby,,
Elacatinus lori,English,Linesnout goby,,
Elacatinus louisae,English,Spotlight goby,,
Elacatinus oceanops,English,Neon goby,,
Elacatinus phthirophagus,English,Noronha cleaner goby,,
Elacatinus pridisi,English,Trindade cleaner goby,,
Elacatinus prochilos,English,Broadstripe goby,White-striped goby,
Elacatinus puncticulatus,English,Panamic redhead goby,Redhead goby,
Elacatinus randalli,English,Yellownose goby,,
Elacatinus serranilla,English,Serranilla goby,,
Elacatinus tenox,English,Slaty goby,,
Elacatinus xanthiprora,English,Yellowprow goby,,
Elagatis bipinnulata,English,Hawaiian salmon,Ocean salmon,Prodigal son
Elassodiscus caudatus,English,Blackbelly snailfish,,
Elates ransonnettii,English,Dwarf flathead,Elates ransonnetii,Lance flathead
Elattarchus archidium,English,Bluestreak drum,,
Electrona antarctica,English,Antarctic lanternfish,,
Electrona carlsbergi,English,Carlsberg's lanternfish,Electron subantarctic,
Electrona paucirastra,English,Belted lanternfish,,
Electrona risso,English,Chubby flashlight fish,Chubby flashlightfish,Electric lantern fish
Electrona subaspera,English,Big-eye lantern-fish,Rough lanternfish,Lanternfish
Eleginops maclovinus,English,Patagonian blennie,Rock cod,
Eleginus gracilis,English,Pacific saffron cod,Saffron cod,Wachna cod
Eleginus nawaga,English,Arctic cod,Arctic saffron,Atlantic navaga
Eleotrica cableae,English,Cable's goby,,
Eleotris acanthopomus,English,Spine-cheek gudgeon,Spinecheek gudgeon,
Eleotris amblyopsis,English,Largescaled spinycheek sleeper,Large-scaled spinycheek sleeper,Sleeper
Eleotris fusca,English,Broadhead sleeper,Brown gudgeon,Brown sleeper
Eleotris lutea,English,Lutea sleeper,Gobi,
Eleotris mauritiana,English,Widehead sleeper,,
Eleotris melanosoma,English,Black gudgeon,Black spine-cheek,Broadhead sleeper
Eleotris pisonis,English,Spinycheek sleeper,Small-scaled spinycheek sleeper,
Eleutherochir opercularis,English,Estuarine largemouth dragonet,Flap-gilled dragonet,Flat-head dragonet
Eleutheronema rhadinum,English,East Asian fourfinger threadfin,,
Eleutheronema tetradactylum,English,Bastard mullets,Blind tassel-fish,Blind tasselfish
Eleutheronema tridactylum,English,Tassel fish,Threefinger threadfin,Threadfin
Ellochelon vaigiensis,English,Blackfin mullet,Diamond scale mullet,Diamond-scale grey mullet
Elops affinis,English,Pacific ladyfish,Ladyfish,Machete
Elops hawaiensis,English,Banana fish,Giant herring,Hawaiian giant herring
Elops lacerta,English,Atlantic ladyfish,Guinean ladyfish,West African ladyfish
Elops machnata,English,Australian giant herring,Banana fish,Big-eye giant herring
Elops saurus,English,Giant herring,Long cudja,Long john
Elops senegalensis,English,Senegalese ladyfish,Ladyfish,Ninebone
Elops smithi,English,Malacho,,
Ematops randalli,English,Randall's viviparous brotula,,
Embiotoca jacksoni,English,Black perch,Black surfperch,Butterlips
Embiotoca lateralis,English,Blue seaperch,Striped seaperch,Striped surfperch
Emblemaria atlantica,English,Banner blenny,,
Emblemaria biocellata,English,Twospot blenny,,
Emblemaria caldwelli,English,Caribbean blenny,,
Emblemaria caycedoi,English,Colombian blenny,,
Emblemaria culmenis,English,Ridge blenny,,
Emblemaria diphyodontis,English,Venezuelan blenny,,
Emblemaria hyltoni,English,Filament blenny,,
Emblemaria hypacanthus,English,Gulf signal blenny,,
Emblemaria nivipes,English,Whiteback signal blenny,,
Emblemaria pandionis,English,Sailfin blenny,,
Emblemaria piratica,English,Sailfin signal blenny,,
Emblemaria piratula,English,Pirate blenny,,
Emblemaria walkeri,English,Elusive signal blenny,,
Emblemariopsis bahamensis,English,Blackhead blenny,Smoothhead glass blenny,
Emblemariopsis bottomei,English,Midnight blenny,Shorthead blenny,Southern smoothhead glass blenny
Emblemariopsis carib,English,Spikefin glass blenny,,
Emblemariopsis dianae,English,Orangeflag blenny,Shortspine red banner blenny,
Emblemariopsis diaphana,English,Glass blenny,Florida smoothhead glass blenny,
Emblemariopsis falcon,English,Falcon red banner blenny,,
Emblemariopsis lancea,English,Lancer red banner blenny,,
Emblemariopsis leptocirris,English,Araw glass blenny,Blackfin glass blenny,
Emblemariopsis occidentalis,English,Bahamas red banner blenny,Blackfin blenny,Flagfin blenny
Emblemariopsis pricei,English,Seafan blenny,,
Emblemariopsis randalli,English,Hornless blenny,Hornless red banner blenny,
Emblemariopsis ruetzleri,English,Bluegold glass blenny,,
Emblemariopsis signifer,English,Brazilian glass blenny,Flagfin blenny,
Emblemariopsis tayrona,English,Highfin red banner blenny,Tayrona blenny,
Emmelichthyops atlanticus,English,John moriggle,Slender bonnetmouth,Bogita
Emmelichthys karnellai,English,Karnella's rover,,
Emmelichthys nitidus,English,Cape bonnetmouth,Pearl fish,Red baitfish
Emmelichthys papillatus,English,Papillated redbait.,,
Emmelichthys ruber,English,Red cover,Red rover,
Emmelichthys struhsakeri,English,Golden redbait,Bonnetmouth,Rover
Encheliophis boraborensis,English,Pinhead pearlfish,Small-finned messmate-fish,
Encheliophis gracilis,English,Graceful pearlfish,Lipless messmate-fish,Slender pearlfish
Encheliophis homei,English,Indo-Pacific messmate-fish,Silver pearlfish,
Encheliophis vermicularis,English,Finless pearlfish,Worm pearlfish,
Encheliophis vermiops,English,Pygmy pearlfish,,
Enchelycore anatina,English,Bird-eye conger,Fangtooth moray,
Enchelycore bayeri,English,Bayer's moray,Bowmouth moray,Hookjaw moray
Enchelycore bikiniensis,English,Bikini atoll moray,Bikini moray,
Enchelycore carychroa,English,Caribbean chestnut moray,Chestnut moray,
Enchelycore kamara,English,Dark-spotted moray,,
Enchelycore lichenosa,English,Reticulate hookjaw moray,,
Enchelycore nigricans,English,Mottled conger moray,Mulatto conger,Viper moray
Enchelycore octaviana,English,Slenderjaw moray,,
Enchelycore pardalis,English,Dragon eel,Dragon moray,Dragon moray eel
Enchelycore propinqua,English,Indian hook-teeth moray,,
Enchelycore ramosa,English,Mosaic eel,Mosaic moray,
Enchelycore schismatorhynchus,English,Brown moray eel,Funnel-nostril moray,Moray eel
Enchelynassa canina,English,Indo-Pacific viper moray,Longfang moray,Toothy moray
Enchelyopus cimbrius,English,Four-bearded rockling,Fourbeard rockling,Rockling
Enchelyurus ater,English,Black blenny,,
Enchelyurus flavipes,English,Yellowfin blenny,,
Enchelyurus kraussii,English,Krauss' blenny,Krauss's blenny,
Encrasicholina auster,English,Fiji anchovy,,
Encrasicholina gloria,English,Red Sea anchovy,,
Encrasicholina heteroloba,English,Blue anchovy,De Vis' anchovy,De Vis's anchovy
Encrasicholina integra,English,Papuan anchovy,,
Encrasicholina intermedia,English,Shiner anchovy,,
Encrasicholina macrocephala,English,Largehead anchovy,,
Encrasicholina oligobranchus,English,Philippine anchovy,,
Encrasicholina punctifer,English,Buccaneer anchovy,Commerson's anchovy,Oceanic anchovy
Encrasicholina purpurea,English,Hawaiian anchovy,Anchovy,Nehu
Encrasicholina sigma,English,Makassar anchovy,,
Engraulis anchoita,English,Argentine anchoita,Argentine anchovy,
Engraulis australis,English,Australian anchovy,Blue bait,Frogmouth pilchard
Engraulis capensis,English,Southern African anchovy,,
Engraulis encrasicolus,English,European anchovy,,
Engraulis eurystole,English,Silver anchovy,Anchovy,
Engraulis japonicus,English,Cape anchovy,Japanese anchovy,Southern African anchovy
Engraulis mordax,English,Bay anchovy,Californian anchovy,Large z'anchois
Engraulis ringens,English,Peruvian anchoveta,Peruvian anchovy,Anchoveta
Engyophrys sanctilaurentii,English,Speckled-tail flounder,Speckledtail flounder,
Engyophrys senta,English,American spiny flounder,Spiny flounder,
Engyprosopon arenicola,English,Fringelip dwarf flounder,,
Engyprosopon bellonaense,English,Bellona flounder,,
Engyprosopon bleekeri,English,Bleeker's flounder,,
Engyprosopon grandisquama,English,Largescale flounder,Spiny-head flounder,Warthog flounder
Engyprosopon hureaui,English,Hureau's flounder,Hureau's wide-eye flounder,
Engyprosopon keliaoense,English,Keliao lefteye flounder,,
Engyprosopon longipterum,English,Long pectoral fin flounder,Longfin wide-eye flounder,
Engyprosopon macrolepis,English,Largescale dwarf flounder,,
Engyprosopon maldivense,English,Olive wide-eyed,Olive wide-eyed flounder,
Engyprosopon natalense,English,Natal flounder,,
Engyprosopon osculus,English,Bumphead flounder,,
Engyprosopon regani,English,Regan's flatfish,,
Engyprosopon rostratum,English,Long snout flounder,,
Engyprosopon septempes,English,Seven pelvic ray flounder,,
Engyprosopon xystrias,English,Tail-spots flounder,,
Enigmapercis reducta,English,Broad duckbill,Broad sand-diver,Broad sandfish
Enneanectes altivelis,English,Lofty triplefin,,
Enneanectes atrorus,English,Blackedge triplefin,,
Enneanectes boehlkei,English,Roughhead triplefin,,
Enneanectes carminalis,English,Carmine triplefin,Delicate triplefin,
Enneanectes deloachorum,English,Two-bar triplefin,,
Enneanectes exsul,English,Island triplefin,,
Enneanectes flavus,English,Yellowtail rriplefin,,
Enneanectes glendae,English,Slender triplefin,,
Enneanectes jordani,English,Redbelly triplefin,Redeye blenny,Redeye triplefin
Enneanectes macrops,English,Mexican triplefin,,
Enneanectes matador,English,Matador triplefin,,
Enneanectes quadra,English,Mimic triplefin,Squaretail triplefin,
Enneanectes reticulatus,English,Network triplefin,,
Enneanectes wilki,English,Windward triplefin,,
Enneapterygius abeli,English,Yellow triplefin,,
Enneapterygius atriceps,English,Hawaiian blackhead triplefin,Hawaiian triplefin,
Enneapterygius atrogulare,English,Black triple-fins,Blackthroat Triplefin,Eastern white-barred threefin
Enneapterygius bahasa,English,Blacktail threefin,Blacktail triplefin,
Enneapterygius clarkae,English,Barred triplefin,,
Enneapterygius clea,English,Clea's threefin,Clea's triplefin,
Enneapterygius elegans,English,Elegant threefin,Elegant Triplefin,Hourglass triplefin
Enneapterygius etheostoma,English,White Banded Triplefin,,
Enneapterygius fasciatus,English,Banded triplefin,Tiny threefin,
Enneapterygius flavoccipitis,English,Northern bicoloured triplefin,Two-colour threefin,Yellownape triplefin
Enneapterygius fuscoventer,English,Blackbelly triplefin,,
Enneapterygius gracilis,English,Yellow-black threefin,Northern yellow-black triplefin,
Enneapterygius hemimelas,English,Blackbelly triplefin,Green-tail threefin,Half-black triplefin
Enneapterygius hollemani,English,Holleman's triplefin,,
Enneapterygius howensis,English,Lord Howe Island triplefin,Lord Howe Threefin,
Enneapterygius kermadecensis,English,Kermadec triplefin,,
Enneapterygius larsonae,English,Blackhead threefin,Larson's triplefin,Western Australian black-head triplefin
Enneapterygius leucopunctatus,English,White spotted triplefin,,
Enneapterygius minutus,English,Minute triplefin,,
Enneapterygius mirabilis,English,Miracle threefin,Miracle triplefin,
Enneapterygius miyakensis,English,Izu Islands triplefin,,
Enneapterygius namarrgon,English,Lightning man triplefin,Lightning-man threefin,
Enneapterygius nanus,English,Pygmy threefin,Pygmy triplefin,
Enneapterygius niger,English,Black triplefin,New Caledonian black triplefin,
Enneapterygius nigricauda,English,Blackfin triplefin,Blacktail triplefin,Pacific blacktail triplefin
Enneapterygius niue,English,Redbar triplefin,,
Enneapterygius ornatus,English,Henderson triplefin,,
Enneapterygius pallidoserialis,English,Pale white-spotted triplefin,Pale-spotted triplefin,
Enneapterygius paucifasciatus,English,Reticulate Triplefin,New Caledonian striped triplefin,
Enneapterygius philippinus,English,Minute threefin,Minute triplefin,Philippines triplefin
Enneapterygius phoenicosoma,English,Red-bodied triplefin,,
Enneapterygius pusillus,English,Highcrest triplefin,,
Enneapterygius pyramis,English,Pyramid threefin,Pyramid triplefin,
Enneapterygius qirmiz,English,Crimson triplefin,,
Enneapterygius randalli,English,Rapa triplefin,,
Enneapterygius rhabdotus,English,Umpire triplefin,South Pacific striped triplefin,
Enneapterygius rhothion,English,Surf Triplefin,New Caledonian blackhead surf triplefin,
Enneapterygius rubicauda,English,Redtail triplefin,,
Enneapterygius rufopileus,English,Black-cheek threefin,Blackcheek threefin,Lord Howe black-head triplefin
Enneapterygius sericus,English,Spotted-head triplefin,,
Enneapterygius signicauda,English,Flagtail triplefin,,
Enneapterygius similis,English,Black and red triplefin,Black-and-Red triplefin,Blacktail triplefin
Enneapterygius triserialis,English,White-spotted triplefin,Whitespotted threefin,Whitespotted Triplefin
Enneapterygius tutuilae,English,High hat triplefin,High-hat triplefin,Highfin threefin
Enneapterygius unimaculatus,English,Onespot triplefin,,
Enneapterygius ventermaculus,English,Bellyspot triplefin,Blotched triplefin,Pakistan triplefin
Enneapterygius vexillarius,English,Blacksaddle triplefin,,
Enneapterygius viridicauda,English,Greentail triplefin,,
Enneapterygius williamsi,English,William's triplefin,,
Enneapterygius ziegleri,English,Ziegler's threefin,Ziegler's triplefin,
Enophrys bison,English,Buffalo sculpin,,
Enophrys diceraus,English,Antlered sculpin,,
Enophrys lucasi,English,Leister sculpin,,
Enophrys taurina,English,Bull sculpin,,
Enoplosus armatus,English,Bastard dory,Double scalare,Old wife
Entelurus aequoreus,English,Ocean pipe-fish,Snake pipe-fish,Snake pipefish
Entomacrodus cadenati,English,West African rockhopper,,
Entomacrodus caudofasciatus,English,Barred-tail rockskipper,Bartail blenny,Tail-barred rockskipper
Entomacrodus chapmani,English,Chapman's blenny,,
Entomacrodus chiostictus,English,Notchfin blenny,Rock blenny,
Entomacrodus corneliae,English,Cornelia's rockskipper,,
Entomacrodus cymatobiotus,English,Pacific rockskipper,,
Entomacrodus decussatus,English,Wavy lined blenny,Wavy-lined blenny,Wavyline rockskipper
Entomacrodus epalzeocheilos,English,Fringelip rockskipper,Tidepool blenny,Zebralip rockskipper
Entomacrodus lighti,English,Stellar Rockhopper,Stellar rockskipper,
Entomacrodus macrospilus,English,Bigspot rockskipper,,
Entomacrodus marmoratus,English,Marbled blenny,Seaweed blenny,Rockskipper
Entomacrodus nigricans,English,Pearl blenny,,
Entomacrodus niuafoouensis,English,Tatoo-chin rockskipper,Tattoo-chin rockskipper,
Entomacrodus rofeni,English,Rofen's rockskipper,,
Entomacrodus sealei,English,Seale's blenny,Seale's rockskipper,Mano'o-fala
Entomacrodus stellifer,English,Stellar rockskipper,,
Entomacrodus strasburgi,English,Strasburg's blenny,,
Entomacrodus striatus,English,Black-spotted rockskipper,Blackspotted rockskipper,Pearly rockskipper
Entomacrodus textilis,English,Textile blenny,,
Entomacrodus thalassinus,English,Reef margin blenny,Reefmargin rockskipper,Sea blenny
Entomacrodus vermiculatus,English,Vermiculated blenny,Vermiculated Rockskipper,
Entomacrodus vomerinus,English,Rockpool blenny,,
Entomacrodus williamsi,English,William's rockskipper,,
Eocallionymus papilio,English,Butterfly dragonet,Painted dragonet,Painted stinkfish
Eopsetta grigorjewi,English,Roundnose flounder,Shothole flounder,Shothole halibut
Eopsetta jordani,English,Petrale sole,Brill,
Epetriodus freddyi,English,Needletooth cusk,,
Ephippion guttifer,English,Common puffer,Prickly puffer,Pricky puffer
Ephippus goreensis,English,African spadefish,Black spadefish,East Atlantic African spadefish
Ephippus orbis,English,Orbiculate spade fish,Round spadefish,Spade fish
Epibulus brevis,English,Latent slingjaw wrasse,,
Epibulus insidiator,English,Sling-jaw wrasse,Slingjaw wrasse,Telescope fish
Epigonus affinis,English,Smooth-nose deepwater cardinalfish,,
Epigonus angustifrons,English,Amber deepwater cardinalfish,,
Epigonus bispinosus,English,Two-spined deepwater cardinalfish,,
Epigonus carbonarius,English,Charcoal deepwater cardinalfish,,
Epigonus cavaticus,English,Palauan deepwater cardinalfish,,
Epigonus denticulatus,English,Pencil cardinal,White cardinal fish,White cardinalfish
Epigonus draco,English,Dragon deepwater cardinalfish,,
Epigonus idai,English,Ida’s deepwater cardinalfish,,
Epigonus indicus,English,Indian deepwater cardinalfish,,
Epigonus lenimen,English,Big-eyed cardinalfish,Bigeye cardinalfish,Bigeye deepsea cardinalfish
Epigonus lifouensis,English,Loyalty deepwater cardinalfish,,
Epigonus macrops,English,Cardinal fish,Luminous deepsea cardinalfish,Luminous deepwater cardinalfish
Epigonus marisrubri,English,Deepwater cardinalfish,,
Epigonus mayeri,English,Angolan deepwater cardinalfish,,
Epigonus occidentalis,English,Western deepsea cardinalfish,,
Epigonus okamotoi,English,Okamoto's deepwater cardinalfish,,
Epigonus pandionis,English,Black Mullet,Bigeye,
Epigonus pectinifer,English,Cardinal fish,,
Epigonus robustus,English,Cardinal fish,Robust cardinalfish,Robust deepsea cardinalfish
Epigonus telescopus,English,Black cardinal fish,Black cardinalfish,Black deepsea cardinalfish
Epigonus tuberculatus,English,Keeling deepwater cardinalfish,,
Epinephelides armatus,English,Black-arse cod,Breaksea cod,Breaksea rock cod
Epinephelus adscensionis,English,Rock cod,Rock grouper,Rock hind
Epinephelus aeneus,English,Common white grouper,White grouper,Grouper
Epinephelus akaara,English,Hong Kong grouper,Red grouper,Redspotted grouper
Epinephelus albomarginatus,English,Captain fine,White-edged grouper,White-edged rockcod
Epinephelus amblycephalus,English,Banded grouper,Bighead grouper,Blunt-headed rock cod
Epinephelus analogus,English,Rock bass,Rock bass spotted cabrilla,Spotted cabrilla
Epinephelus andersoni,English,Captain fine,Catface grouper,Catface rockcod
Epinephelus areolatus,English,Areolate grouper,Areolate rock cod,Areolate rockcod
Epinephelus awoara,English,Banded grouper,Yellow grouper,
Epinephelus bilobatus,English,Brown-spotted rock-cod,Frostback cod,Frostback rockcod
Epinephelus bleekeri,English,Bleeker's grouper,Bleeker's rock cod,Bleekeri's grouper
Epinephelus bontoides,English,Dusky rock cod,Palemargin grouper,
Epinephelus bruneus,English,Coral cod,Kelp grouper,Longtooth grouper
Epinephelus caninus,English,Dogtooth grouper,Toothed grouper,
Epinephelus chlorocephalus,English,Tonga grouper,,
Epinephelus chlorostigma,English,Brown-spotted reef-cod,Brownspotted grouper,Brownspotted rockcod
Epinephelus coeruleopunctatus,English,Ocellated rock-cod,Ocellated rockcod,Reef cod
Epinephelus coioides,English,Brown-spotted grouper,Brown-spotted rockcod,Coral cod
Epinephelus corallicola,English,Black-dotted cod,Coral cod,Coral grouper
Epinephelus costae,English,Goldblotch grouper,Golden grouper,
Epinephelus craigi,English,Brokenbar Grouper,,
Epinephelus cyanopodus,English,Blue maori,Blue maori cod,Blue mori cod
Epinephelus daemelii,English,Black cod,Black rockcod,Saddled cod
Epinephelus diacanthus,English,Coral cod,Coral trout,Six-barred reef cod
Epinephelus drummondhayi,English,Calico grouper,Kitty Mitchell,Speckled hind
Epinephelus epistictus,English,Black-dotted rock-cod,Black-spotted grouper,Black-spotted rockcod
Epinephelus erythrurus,English,Cloudy grouper,Cloudy rock cod,Grouper
Epinephelus fasciatomaculosus,English,Banded reef-cod,Rock grouper,Grouper
Epinephelus fasciatus,English,Banded reef cod,Banded rock cod,Black tipped cod
Epinephelus faveatus,English,Barred-chest grouper,Bigspot grouper,Indian grouper
Epinephelus flavocaeruleus,English,Blue and yellow grouper,Blue and yellow reef cod,Blue-and-yellow grouper
Epinephelus fuscoguttatus,English,Black rock-cod,Black-spotted grouper,Black-tipped cod
Epinephelus fuscomarginatus,English,Darkmargin grouper,,
Epinephelus gabriellae,English,Gabriella's grouper,Multispotted grouper,
Epinephelus goreensis,English,Dungat gorean grouper,Dungat grouper,Redbanded grouper
Epinephelus guttatus,English,Lucky grouper,Red hind,Deady
Epinephelus heniochus,English,Bridled grouper,Coral cod,Flowery cod
Epinephelus hexagonatus,English,Hexagon grouper,Hexagon rockcod,Honeycomb reefcod
Epinephelus howlandi,English,Blacksaddle grouper,Blacksaddle rockcod,Blacksaddled cod
Epinephelus indistinctus,English,Somali grouper,,
Epinephelus insularis,English,Blue-spot coral cod,Brown-spotted grouper,Brownspotted grouper
Epinephelus irroratus,English,Marquesan grouper,,
Epinephelus itajara,English,Atlantic goliath grouper,Black bass,Coral cod
Epinephelus japonicus,English,Brownspotted grouper,,
Epinephelus kupangensis,English,Fivebar grouper,,
Epinephelus labriformis,English,Flag cabrilla,Rock bass,Sea bass
Epinephelus lanceolatus,English,Banded rockcod,Brindle bass,Brindle grouper
Epinephelus latifasciatus,English,Banded grouper,Coral cod,Laterally-banded grouper
Epinephelus lebretonianus,English,Mystery grouper,,
Epinephelus longispinis,English,Long-spine rock cod,Longspine grouper,Spotted grouper
Epinephelus macrospilos,English,Bigspot rockcod,Coral cod,Large-spotted rockcod
Epinephelus maculatus,English,Blackfin cod,Bloch's rockcod,Brown-spotted rock-cod
Epinephelus magniscuttis,English,Speckled grouper,Speckled rockcod,Spotted grouper
Epinephelus malabaricus,English,Malabar grouper,,
Epinephelus marginatus,English,Duskey grouper,Dusky grouper,Dusky perch
Epinephelus melanostigma,English,Black-spot grouper,Blackspot cod,Blackspot grouper
Epinephelus merra,English,Birdwire rockcod,Black-spotted rock-cod,Common birdwire rockcod
Epinephelus miliaris,English,Honeyfin grouper,Netfin grouper,Netfin rockcod
Epinephelus morio,English,Brown grouper,Cherna de vivero,Deer grouper
Epinephelus morrhua,English,Banded-check reef-cod,Banded-cheek reef cod,Blue grouper
Epinephelus multinotatus,English,Brown rock-cod,Rankin cod,Rankin's cod
Epinephelus ongus,English,Honeycomb rock cod,Lace-finned rock-cod,Speckle-finned cod
Epinephelus poecilonotus,English,Dot-dash grouper,Dot-dash rockcod,Grouper
Epinephelus polylepis,English,Smallscale grouper,Smallscaled grouper,
Epinephelus polyphekadion,English,Blue-tailed cod,Camouflage cod,Camouflage groper
Epinephelus posteli,English,Striped fin rockcod,Striped-fin grouper,
Epinephelus quinquefasciatus,English,Pacific goliath grouper,,
Epinephelus quoyanus,English,Bar-breasted rock-cod,Barred-chest rock-cod,Barrel-chest grouper
Epinephelus radiatus,English,Oblique-banded grouper,Oblique-banded rockcod,Obliquebanded grouper
Epinephelus randalli,English,Mud grouper,,
Epinephelus retouti,English,Brownback cod,Brownback grouper,Red-tipped grouper
Epinephelus rivulatus,English,Charlie court cod,Chinaman cod,Chinaman rockcod
Epinephelus sexfasciatus,English,Coral cod,Coral cod red banded,Red-banded grouper
