"ORIGINAL_NAME"@"ORDER"@"FAMILY"@"GENUS"@"VALID_NAME"@"APHIA_ID"@"AUTHORITY"@"SAMPLING_DATES"@"START_DATE"@"END_DATE"@"ORIGIN"@"LATITUDE"@"LONGITUDE"@"ARTICLE_GPS_COORD"@"APPROX_GPS"@"MARINE_ECOREGION"@"LOCATION"@"COUNTRY"@"GEAR"@"MAX_SIZE_PELAGIC_JUV"@"N"@"LENGTH_TYPE"@"SET_SIZE_MEAN"@"SET_SIZE_MIN"@"SET_SIZE_MAX"@"SET_SIZE_CONF"@"SET_SIZE_MEAN_TYPE"@"SET_SIZE_CONF_TYPE"@"TEMPERATURE_MEAN"@"TEMPERATURE_MIN"@"TEMPERATURE_MAX"@"TEMPERATURE_MEAN_TYPE"@"EXT_REF"@"REFERENCE"@"LINK"
"Serranus baldwini"@"Perciformes"@"Serranidae"@"Serranus"@"Serranus baldwini"@273893@"Evermann & Marsh, 1899"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@8@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Stephanolepis setifer"@"Tetraodontiformes"@"Monacanthidae"@"Stephanolepis"@"Stephanolepis setifer"@159500@"Bennett, 1831"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@15@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Acyrtus rubiginosus"@"Gobiesociformes"@"Gobiesocidae"@"Acyrtus"@"Acyrtus rubiginosus"@279507@"Poey, 1868"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@48.5@48@49@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Ahlia egmontis"@"Anguilliformes"@"Ophichthidae"@"Ahlia"@"Ahlia egmontis"@158595@"Jordan, 1884"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"8"@"TL"@632.625@561@720@64.7278643906272@"mean"@"SD"@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Conodon nobilis"@"Eupercaria incertae sedis"@"Haemulidae"@"Conodon"@"Conodon nobilis"@280386@"Linnaeus, 1758"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@110@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Decodon puellaris"@"Eupercaria incertae sedis"@"Labridae"@"Decodon"@"Decodon puellaris"@276747@"Poey, 1860"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@130@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Ekemblemaria nigra"@"Blenniiformes"@"Chaenopsidae"@"Ekemblemaria"@"Ekemblemaria nigra"@280595@"Meek & Hildebrand, 1928"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@131@120@142@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Enchelycore nigricans"@"Anguilliformes"@"Muraenidae"@"Enchelycore"@"Enchelycore nigricans"@271808@"Bonnaterre, 1788"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@531@530@532@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Gordiichthys irretitius"@"Anguilliformes"@"Ophichthidae"@"Gordiichthys"@"Gordiichthys irretitus"@275479@"Jordan & Davis, 1891"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@751@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Hemiemblemaria simulus"@"Blenniiformes"@"Chaenopsidae"@"Hemiemblemaria"@"Hemiemblemaria simula"@402646@"Longley & Hildebrand, 1940"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@121@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Heteroconger longissimus"@"Anguilliformes"@"Congridae"@"Heteroconger"@"Heteroconger longissimus"@126288@"Gunther, 1870"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@720@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Moringua edwardsi"@"Anguilliformes"@"Moringuidae"@"Moringua"@"Moringua edwardsi"@158578@"Jordan & Bollman, 1889"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@335@280@390@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Muraena lentiginosa"@"Anguilliformes"@"Muraenidae"@"Muraena"@"Muraena lentiginosa"@271900@"Jenyns, 1842"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"3"@"TL"@560.333333333333@550@570@10.0166528008778@"mean"@"SD"@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Phaenomonas longissima"@"Anguilliformes"@"Ophichthidae"@"Phaenomonas"@"Phaenomonas longissima"@277571@"Cadenat & Marchal, 1963"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@750@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Acanthostracion polygonium"@"Tetraodontiformes"@"Ostraciidae"@"Acanthostracion"@"Acanthostracion polygonium"@1577312@"Poey, 1876"@"29/03/2023"@"2023-03-29"@"2023-03-29"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"1"@"TL"@12.7132@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Acanthurus chirurgus"@"Acanthuriformes"@"Acanthuridae"@"Acanthurus"@"Acanthurus chirurgus"@159580@"Bloch, 1787"@"22/02/2023|29/03/2023"@"2023-02-22"@"2023-03-29"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"2"@"TL"@35.9279@33.344@38.5118@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Acanthurus tractus"@"Acanthuriformes"@"Acanthuridae"@"Acanthurus"@"Acanthurus tractus"@301914@"Poey, 1860"@"18/04/2023|23/01/2023"@"2023-01-23"@"2023-04-18"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"3"@"TL"@32.3852@31.2779@33.4953@1.10870265175114@"mean"@"SD"@NA@NA@NA@NA@NA@"Current study"@NA
"Acyrtus artius"@"Gobiesociformes"@"Gobiesocidae"@"Acyrtus"@"Acyrtus artius"@279505@"Briggs, 1955"@"19/01/2023"@"2023-01-19"@"2023-01-19"@"Wild"@"16.196573"@-61.492215@TRUE@FALSE@"WA"@"Gosier (Guadeloupe Island)"@"France"@"Settlement sampling (crest net)"@FALSE@"1"@"SL"@10.7346@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Acyrtus lanthanum"@"Gobiesociformes"@"Gobiesocidae"@"Acyrtus"@"Acyrtus lanthanum"@1006979@"Conway, Baldwin & White, 2014"@"19/01/2023"@"2023-01-19"@"2023-01-19"@"Wild"@"16.196573"@-61.492215@TRUE@FALSE@"WA"@"Gosier (Guadeloupe Island)"@"France"@"Settlement sampling (crest net)"@FALSE@"2"@"TL"@10.8812@8.7106@13.0518@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Acyrtus rubiginosus"@"Gobiesociformes"@"Gobiesocidae"@"Acyrtus"@"Acyrtus rubiginosus"@279507@"Poey, 1868"@"17/01/2023|19/01/2023"@"2023-01-17"@"2023-01-19"@"Wild"@"16.196573"@-61.492215@TRUE@FALSE@"WA"@"Gosier (Guadeloupe Island)"@"France"@"Settlement sampling (crest net)"@FALSE@"2"@"SL"@6.58775@6.4059@6.7696@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Acyrtus rubiginosus"@"Gobiesociformes"@"Gobiesocidae"@"Acyrtus"@"Acyrtus rubiginosus"@279507@"Poey, 1868"@"22/01/2023"@"2023-01-22"@"2023-01-22"@"Wild"@"16.35937"@-61.574622@TRUE@FALSE@"WA"@"Fajou (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"1"@"TL"@9.3923@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Albula vulpes"@"Albuliformes"@"Albulidae"@"Albula"@"Albula vulpes"@212256@"Linnaeus, 1758"@"19/01/2023"@"2023-01-19"@"2023-01-19"@"Wild"@"16.196573"@-61.492215@TRUE@FALSE@"WA"@"Gosier (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"1"@"TL"@52.7159@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Amblycirrhitus pinos"@"Centrarchiformes"@"Cirrhitidae"@"Amblycirrhitus"@"Amblycirrhitus pinos"@277569@"Mowbray, 1927"@"29/03/2023"@"2023-03-29"@"2023-03-29"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"1"@"TL"@31.6051@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Apogon maculatus"@"Kurtiformes"@"Apogonidae"@"Apogon"@"Apogon maculatus"@159589@"Poey, 1860"@"15/02/2023|18/04/2023|23/01/2023"@"2023-01-23"@"2023-04-18"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"4"@"TL"@24.3357@23.5797@25.2642@0.717476368948831@"mean"@"SD"@NA@NA@NA@NA@NA@"Current study"@NA
"Apogon mosavi"@"Kurtiformes"@"Apogonidae"@"Apogon"@"Apogon mosavi"@273049@"Dale, 1977"@"15/02/2023"@"2023-02-15"@"2023-02-15"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"1"@"TL"@17.4459@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Current study"@NA
"Ariosoma balearicum"@"Anguilliformes"@"Congridae"@"Ariosoma"@"Ariosoma balearicum"@126283@"Delaroche, 1809"@"15/02/2023|22/02/2023|29/03/2023"@"2023-02-15"@"2023-03-29"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"4"@"TL"@112.832875@95.743@129.1945@13.7278138850474@"mean"@"SD"@NA@NA@NA@NA@NA@"Current study"@NA
"Astrapogon puncticulatus"@"Kurtiformes"@"Apogonidae"@"Astrapogon"@"Astrapogon puncticulatus"@279773@"Poey, 1867"@"15/02/2023|22/02/2023|23/01/2023|29/03/2023"@"2023-01-23"@"2023-03-29"@"Wild"@"15.961553"@-61.709503@TRUE@FALSE@"WA"@"Vieux-Fort (Guadeloupe Island)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@"9"@"SL"@10.0976333333333@8.8048@11.4702@0.744637248934003@"mean"@"SD"@NA@NA@NA@NA@NA@"Current study"@NA
